+------+-------+------+--------------------+----------------+--------+-----------+-----------+----------+
| bits | alpha |  c   | run time (seconds) | avg. red. time | trials | not short | **found** | repeated |
+------+-------+------+--------------------+----------------+--------+-----------+-----------+----------+
|  20  |  1.6  | 1.1  |       14.89        |     0.0539     |  264   |    0.19   |    0.08   |   0.73   |
|  20  |  1.6  | 1.15 |       16.07        |     0.058      |  275   |    0.24   |    0.07   |   0.68   |
|  20  |  1.6  | 1.2  |       17.06        |     0.0585     |  290   |    0.4    |    0.07   |   0.53   |
|  20  |  1.6  | 1.25 |       19.61        |     0.0577     |  337   |    0.56   |    0.06   |   0.38   |
|  20  |  1.7  | 1.1  |        8.12        |     0.0896     |   90   |    0.24   |    0.27   |   0.49   |
|  20  |  1.7  | 1.15 |        6.76        |     0.082      |   82   |    0.3    |    0.29   |   0.4    |
|  20  |  1.7  | 1.2  |        4.56        |     0.0756     |   60   |    0.28   |    0.4    |   0.32   |
|  20  |  1.7  | 1.25 |        5.44        |     0.0751     |   72   |    0.36   |    0.33   |   0.31   |
|  20  |  1.8  | 1.1  |        7.41        |     0.1102     |   67   |    0.39   |    0.43   |   0.18   |
|  20  |  1.8  | 1.15 |       11.83        |     0.1102     |  107   |    0.4    |    0.27   |   0.33   |
|  20  |  1.8  | 1.2  |        8.92        |     0.111      |   80   |    0.46   |    0.36   |   0.17   |
|  20  |  1.8  | 1.25 |        7.35        |     0.1121     |   65   |    0.37   |    0.45   |   0.18   |
|      |       |      |                    |                |        |           |           |          |
|  22  |  1.6  | 1.1  |       11.95        |     0.0657     |  181   |    0.57   |    0.13   |   0.3    |
|  22  |  1.6  | 1.15 |       12.32        |     0.0756     |  162   |    0.58   |    0.14   |   0.28   |
|  22  |  1.6  | 1.2  |       12.48        |     0.0687     |  181   |    0.55   |    0.13   |   0.32   |
|  22  |  1.6  | 1.25 |        11.4        |     0.0675     |  168   |    0.43   |    0.14   |   0.43   |
|  22  |  1.7  | 1.1  |       11.73        |     0.0965     |  121   |    0.46   |    0.22   |   0.31   |
|  22  |  1.7  | 1.15 |       12.95        |     0.0977     |  132   |    0.5    |    0.2    |   0.3    |
|  22  |  1.7  | 1.2  |        9.45        |     0.098      |   96   |    0.57   |    0.28   |   0.15   |
|  22  |  1.7  | 1.25 |       11.35        |     0.0975     |  116   |    0.49   |    0.23   |   0.28   |
|  22  |  1.8  | 1.1  |        8.89        |      0.15      |   59   |    0.32   |    0.56   |   0.12   |
|  22  |  1.8  | 1.15 |       11.83        |     0.1509     |   78   |    0.44   |    0.42   |   0.14   |
|  22  |  1.8  | 1.2  |       12.49        |      0.15      |   83   |    0.51   |    0.4    |   0.1    |
|  22  |  1.8  | 1.25 |       15.06        |     0.1488     |  100   |    0.48   |    0.33   |   0.19   |
|      |       |      |                    |                |        |           |           |          |
|  24  |  1.6  | 1.1  |       25.41        |     0.0812     |  312   |    0.56   |    0.08   |   0.36   |
|  24  |  1.6  | 1.15 |       43.28        |     0.0897     |  481   |    0.64   |    0.05   |   0.31   |
|  24  |  1.6  | 1.2  |        22.1        |     0.087      |  253   |    0.59   |    0.1    |   0.31   |
|  24  |  1.6  | 1.25 |       24.57        |     0.0827     |  296   |    0.53   |    0.08   |   0.39   |
|  24  |  1.7  | 1.1  |       21.63        |     0.1485     |  145   |    0.49   |    0.21   |   0.3    |
|  24  |  1.7  | 1.15 |       21.66        |     0.147      |  147   |    0.56   |    0.21   |   0.23   |
|  24  |  1.7  | 1.2  |       13.26        |     0.1296     |  102   |    0.57   |    0.3    |   0.13   |
|  24  |  1.7  | 1.25 |       14.55        |     0.1261     |  115   |    0.62   |    0.27   |   0.11   |
|  24  |  1.8  | 1.1  |       22.78        |     0.1941     |  117   |    0.5    |    0.32   |   0.19   |
|  24  |  1.8  | 1.15 |       16.25        |     0.1863     |   87   |    0.44   |    0.43   |   0.14   |
|  24  |  1.8  | 1.2  |       19.99        |     0.1918     |  104   |    0.57   |    0.36   |   0.08   |
|  24  |  1.8  | 1.25 |       16.09        |     0.1867     |   86   |    0.52   |    0.43   |   0.05   |
|      |       |      |                    |                |        |           |           |          |
|  26  |  1.6  | 1.1  |       47.18        |     0.0952     |  494   |    0.76   |    0.05   |   0.19   |
|  26  |  1.6  | 1.15 |       29.28        |     0.1077     |  271   |    0.77   |    0.1    |   0.13   |
|  26  |  1.6  | 1.2  |       39.39        |     0.0901     |  436   |    0.86   |    0.06   |   0.08   |
