+------+-------+-----+--------------------+----------------+--------+-----------+-----------+----------+
| bits | alpha |  c  | run time (seconds) | avg. red. time | trials | not short | **found** | repeated |
+------+-------+-----+--------------------+----------------+--------+-----------+-----------+----------+
|  20  |  1.6  | 1.0 |        7.51        |     0.037      |  188   |    0.21   |    0.1    |   0.69   |
|  20  |  1.6  | 1.1 |       27.59        |     0.0375     |  732   |    0.19   |    0.03   |   0.79   |
|  20  |  1.6  | 1.2 |       43.98        |     0.0363     |  1206  |    0.25   |    0.02   |   0.74   |
|  20  |  1.6  | 1.3 |       52.87        |     0.036      |  1463  |    0.37   |    0.01   |   0.61   |
|  20  |  1.6  | 1.4 |       169.68       |     0.0366     |  4626  |    0.68   |    0.0    |   0.32   |
|  20  |  1.7  | 1.0 |        6.42        |     0.0638     |  100   |    0.22   |    0.24   |   0.54   |
|  20  |  1.7  | 1.1 |        5.46        |     0.0655     |   83   |    0.2    |    0.29   |   0.51   |
|  20  |  1.7  | 1.2 |        4.19        |     0.0661     |   63   |    0.41   |    0.38   |   0.21   |
|  20  |  1.7  | 1.3 |        4.46        |     0.0651     |   68   |    0.34   |    0.35   |   0.31   |
|  20  |  1.7  | 1.4 |       12.38        |     0.0655     |  188   |    0.35   |    0.13   |   0.52   |
|  20  |  1.8  | 1.0 |        9.18        |     0.0943     |   97   |    0.36   |    0.29   |   0.35   |
|  20  |  1.8  | 1.1 |        8.35        |     0.0945     |   88   |    0.27   |    0.32   |   0.41   |
|  20  |  1.8  | 1.2 |        5.82        |     0.098      |   59   |    0.36   |    0.47   |   0.17   |
|  20  |  1.8  | 1.3 |        6.46        |     0.0975     |   66   |    0.39   |    0.42   |   0.18   |
|  20  |  1.8  | 1.4 |        7.74        |     0.0976     |   79   |    0.42   |    0.35   |   0.23   |
|  20  |  1.9  | 1.0 |       10.48        |     0.145      |   72   |    0.29   |    0.47   |   0.24   |
|  20  |  1.9  | 1.1 |        9.18        |     0.1476     |   62   |    0.21   |    0.55   |   0.24   |
|  20  |  1.9  | 1.2 |       12.81        |     0.1502     |   85   |    0.46   |    0.4    |   0.14   |
|  20  |  1.9  | 1.3 |        9.61        |     0.1568     |   61   |    0.36   |    0.56   |   0.08   |
|  20  |  1.9  | 1.4 |        8.98        |     0.1568     |   57   |    0.32   |    0.6    |   0.09   |
|      |       |     |                    |                |        |           |           |          |
|  22  |  1.6  | 1.0 |       20.37        |     0.0533     |  381   |    0.49   |    0.06   |   0.46   |
|  22  |  1.6  | 1.1 |       29.92        |     0.0522     |  571   |    0.47   |    0.04   |   0.5    |
|  22  |  1.6  | 1.2 |        18.7        |     0.0475     |  392   |    0.49   |    0.05   |   0.45   |
|  22  |  1.6  | 1.3 |       32.28        |     0.0472     |  682   |    0.34   |    0.03   |   0.63   |
|  22  |  1.6  | 1.4 |       27.44        |     0.0474     |  577   |    0.47   |    0.04   |   0.49   |
|  22  |  1.7  | 1.0 |        9.81        |     0.0782     |  125   |    0.48   |    0.21   |   0.31   |
|  22  |  1.7  | 1.1 |        7.44        |     0.0804     |   92   |    0.57   |    0.28   |   0.15   |
|  22  |  1.7  | 1.2 |       10.18        |     0.0786     |  129   |    0.43   |    0.2    |   0.37   |
|  22  |  1.7  | 1.3 |        7.52        |     0.0813     |   92   |    0.47   |    0.28   |   0.25   |
|  22  |  1.7  | 1.4 |        7.07        |     0.0818     |   86   |    0.45   |    0.3    |   0.24   |
|  22  |  1.8  | 1.0 |       12.96        |     0.1231     |  105   |    0.48   |    0.3    |   0.22   |
|  22  |  1.8  | 1.1 |        9.68        |     0.1251     |   77   |    0.45   |    0.42   |   0.13   |
|  22  |  1.8  | 1.2 |       10.51        |     0.1245     |   84   |    0.43   |    0.38   |   0.19   |
|  22  |  1.8  | 1.3 |        8.94        |     0.1272     |   70   |    0.39   |    0.46   |   0.16   |
|  22  |  1.8  | 1.4 |       15.57        |     0.1223     |  127   |    0.54   |    0.25   |   0.2    |
|  22  |  1.9  | 1.0 |       12.63        |     0.1898     |   66   |    0.27   |    0.59   |   0.14   |
|  22  |  1.9  | 1.1 |       16.71        |     0.1872     |   89   |    0.44   |    0.44   |   0.12   |
|  22  |  1.9  | 1.2 |       15.54        |     0.1887     |   82   |    0.43   |    0.48   |   0.1    |
